,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,AGHSF,AGASF,AGHSC,AGASC,AGHSTF,AGASTF,AGHSTC,AGASTC,AGHF,AGAF,AGHCF,AGACF,AGHCC,AGACC,AGHY,AGAY,AGHR,AGAR,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,HTSD,ATSD,HTSTD,ATSTD,HTCD,ATCD
0,2013-08-09,Bayern Munich,M'gladbach,3,1,H,26,11,9,4,6,4,12,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013-08-10,Augsburg,Dortmund,0,4,A,11,13,4,9,5,6,18,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2013-08-10,Braunschweig,Werder Bremen,0,1,A,13,12,3,4,2,7,10,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2013-08-10,Hannover,Wolfsburg,2,0,H,20,15,8,4,7,2,28,11,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2013-08-10,Hertha,Ein Frankfurt,6,1,H,16,10,9,4,5,4,19,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2013-08-10,Hoffenheim,Nurnberg,2,2,D,23,12,8,5,6,9,17,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2013-08-10,Leverkusen,Freiburg,3,1,H,18,8,6,3,5,2,11,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2013-08-11,Mainz,Stuttgart,3,2,H,9,15,7,10,2,8,15,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2013-08-11,Schalke 04,Hamburg,3,3,D,19,16,8,6,3,7,15,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2013-08-17,Ein Frankfurt,Bayern Munich,0,1,A,9,15,3,7,6,5,9,17,1,1,0,0,1,3,6,1,10,26,16,11,4,9,9,4,18,12,4,6,5,4,1.0,1,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-2.5,1.0,-1.5,-1.5,-3.0,7.5,-2.5,2.5,-0.5,1.0
10,2013-08-17,Freiburg,Mainz,1,2,A,9,12,3,8,2,4,17,7,0,3,0,0,1,3,3,2,8,9,18,15,3,7,6,10,16,15,2,2,5,8,1.0,2,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-1.0,0.5,-1.5,-1.5,-5.0,-3.0,-1.5,-1.5,-1.5,-3.0
11,2013-08-17,Hamburg,Hoffenheim,1,5,A,8,18,4,7,2,4,15,22,2,2,0,0,3,2,3,2,16,23,19,12,6,8,8,5,11,17,7,6,3,9,1.0,1,0.0,0.0,0.5,0.5,D,D,M,M,M,M,M,M,M,M,2.0,DMMMM,DMMMM,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.5,5.5,-1.0,1.5,2.0,-1.5
12,2013-08-17,M'gladbach,Hannover,3,0,H,17,16,8,4,1,3,9,19,1,4,0,0,1,2,3,0,11,20,26,15,4,8,9,4,11,28,4,7,6,2,1.5,4,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-1.0,1.0,-1.5,-1.5,-7.5,2.5,-2.5,2.0,-1.0,2.5
13,2013-08-17,Stuttgart,Leverkusen,0,1,A,17,13,3,3,10,3,13,15,3,2,0,0,2,3,3,1,15,18,9,8,10,6,7,3,13,11,8,5,2,2,2.0,2,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-0.5,1.0,-1.5,-1.5,3.0,5.0,1.5,1.5,3.0,1.5
14,2013-08-17,Werder Bremen,Augsburg,1,0,H,5,20,2,4,3,7,16,14,3,4,0,0,1,0,0,4,12,11,13,13,4,4,3,9,18,18,7,5,2,6,0.0,2,0.0,0.0,1.5,0.0,W,L,M,M,M,M,M,M,M,M,2.0,WMMMM,LMMMM,3,0,0,0,0,0,0,0,0,0,0.5,-2.0,1.5,1.5,-0.5,-1.0,0.5,-2.5,2.5,-0.5
15,2013-08-17,Wolfsburg,Schalke 04,4,0,H,20,6,8,2,11,3,18,16,0,2,0,0,0,3,2,3,15,19,20,16,4,8,8,6,11,15,2,3,7,7,0.0,1,1.0,0.0,0.0,0.5,L,D,M,M,M,M,M,M,M,M,2.0,LMMMM,DMMMM,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5,-2.5,1.5,-2.0,1.0,-2.5,-2.0
16,2013-08-18,Dortmund,Braunschweig,2,1,H,24,8,6,3,4,3,8,12,0,1,0,0,4,0,0,1,13,13,11,12,9,3,4,4,12,10,6,2,5,7,0.0,1,0.0,0.0,1.5,0.0,W,L,M,M,M,M,M,M,M,M,2.0,WMMMM,LMMMM,3,0,0,0,0,0,0,0,0,0,2.0,-0.5,1.5,1.5,1.0,0.5,2.5,-0.5,0.5,-2.5
17,2013-08-18,Nurnberg,Hertha,2,2,D,11,12,5,5,4,5,16,17,5,2,0,0,2,6,2,1,12,16,23,10,5,9,8,4,17,19,9,5,6,4,2.0,0,0.0,0.0,0.5,1.5,D,W,M,M,M,M,M,M,M,M,2.0,DMMMM,WMMMM,1,3,0,0,0,0,0,0,0,0,0.0,2.5,-1.0,-1.0,-5.5,3.0,-1.5,2.5,1.5,0.5
18,2013-08-23,Dortmund,Werder Bremen,1,0,H,32,7,8,1,7,2,14,13,0,0,0,0,6,2,1,0,37,17,19,33,15,6,7,7,20,34,10,10,8,9,0.0,3,0.0,0.0,2.0,2.0,W,W,W,W,M,M,M,M,M,M,3.0,WWMMM,WWMMM,6,6,0,0,0,0,0,0,0,0,1.6666666666666667,0.6666666666666666,0.0,0.0,6.0,-5.333333333333333,2.6666666666666665,-0.3333333333333333,0.6666666666666666,0.3333333333333333
19,2013-08-24,Bayern Munich,Nurnberg,2,0,H,26,5,9,1,10,1,13,8,3,1,0,0,4,4,1,4,41,23,20,35,16,10,7,13,29,33,11,13,10,11,0.6666666666666666,9,0.0,0.0,2.0,0.6666666666666666,W,D,W,D,M,M,M,M,M,M,3.0,WWMMM,DDMMM,6,2,0,0,0,0,0,0,0,0,1.0,0.0,1.3333333333333333,1.3333333333333333,7.0,-4.0,3.0,-1.0,0.3333333333333333,0.6666666666666666
20,2013-08-24,Hannover,Schalke 04,2,1,H,14,8,6,2,7,1,19,23,2,0,1,2,2,3,3,7,36,25,32,36,12,10,12,14,47,31,10,6,3,18,2.6666666666666665,3,0.0,0.0,1.0,0.3333333333333333,L,L,W,D,M,M,M,M,M,M,3.0,LWMMM,LDMMM,3,1,0,0,0,0,0,0,0,0,-0.3333333333333333,-1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,-3.6666666666666665,0.0,-1.3333333333333333,2.3333333333333335,-4.0
21,2013-08-24,Hertha,Hamburg,1,0,H,16,15,5,7,6,9,16,18,1,4,0,0,8,4,3,8,28,24,21,37,14,10,9,15,36,26,10,9,8,7,0.6666666666666666,4,0.0,0.0,1.3333333333333333,0.3333333333333333,D,L,W,D,M,M,M,M,M,M,3.0,DWMMM,LDMMM,4,1,0,0,0,0,0,0,0,0,1.6666666666666667,-1.3333333333333333,1.0,1.0,2.3333333333333335,-4.333333333333333,1.6666666666666667,-1.6666666666666667,0.6666666666666666,0.6666666666666666
22,2013-08-24,Hoffenheim,Freiburg,3,3,D,13,11,5,6,2,4,15,22,1,3,1,3,7,2,3,5,41,17,20,30,15,6,9,14,39,33,10,4,11,9,1.0,2,0.0,0.0,1.3333333333333333,0.0,W,L,D,L,M,M,M,M,M,M,3.0,WDMMM,LLMMM,4,0,0,0,0,0,0,0,0,0,1.3333333333333333,-1.0,1.3333333333333333,1.3333333333333333,7.0,-4.333333333333333,2.0,-2.6666666666666665,-0.3333333333333333,-1.6666666666666667
23,2013-08-24,Leverkusen,M'gladbach,4,2,H,19,10,11,3,7,3,10,14,0,1,0,0,4,4,1,3,31,28,25,42,9,12,6,13,26,20,8,5,12,9,1.3333333333333333,4,0.0,0.0,2.0,1.0,W,W,W,L,M,M,M,M,M,M,3.0,WWMMM,WLMMM,6,3,0,0,0,0,0,0,0,0,1.0,0.3333333333333333,1.0,1.0,2.0,-4.666666666666667,1.0,-0.3333333333333333,-1.3333333333333333,-1.3333333333333333
24,2013-08-24,Mainz,Wolfsburg,2,0,H,12,16,4,6,2,5,16,15,3,1,0,1,5,4,3,2,21,35,24,26,15,12,13,10,22,29,6,13,10,10,1.6666666666666667,0,0.0,0.6666666666666666,2.0,1.0,W,W,W,L,M,M,M,M,M,M,3.0,WWMMM,WLMMM,6,3,0,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,1.0,1.0,-1.0,3.0,0.6666666666666666,0.6666666666666666,-1.3333333333333333,1.0
25,2013-08-25,Augsburg,Stuttgart,2,1,H,17,9,5,2,9,7,19,18,2,3,0,1,0,2,5,4,31,32,18,22,8,13,11,10,32,26,12,18,9,5,2.0,7,0.0,0.0,0.0,0.0,L,L,L,L,M,M,M,M,M,M,3.0,LLMMM,LLMMM,0,0,0,0,0,0,0,0,0,0,-1.6666666666666667,-0.6666666666666666,0.0,0.0,4.333333333333333,3.3333333333333335,-1.0,1.0,1.0,4.333333333333333
26,2013-08-25,Braunschweig,Ein Frankfurt,0,2,A,9,20,4,4,2,8,12,18,2,1,0,0,1,1,3,7,21,19,36,31,6,7,10,16,22,27,5,10,11,10,0.6666666666666666,3,0.0,0.0,0.0,0.0,L,L,L,L,M,M,M,M,M,M,3.0,LLMMM,LLMMM,0,0,0,0,0,0,0,0,0,0,-0.6666666666666666,-2.0,0.0,0.0,-5.0,-4.0,-1.3333333333333333,-3.0,-2.0,0.0
27,2013-08-27,Freiburg,Bayern Munich,1,1,D,8,17,3,8,3,6,17,10,2,1,0,0,5,6,8,1,28,67,43,25,12,25,19,8,55,42,8,21,11,11,1.25,5,0.75,0.0,0.25,2.25,D,W,L,W,L,W,M,M,M,M,4.0,DLLMM,WWWMM,1,9,0,0,0,0,0,0,0,0,-0.75,1.25,-2.0,-2.0,-3.75,10.5,-1.75,4.25,-0.75,2.5
28,2013-08-31,Hamburg,Braunschweig,4,0,H,26,17,13,5,7,2,19,21,1,4,0,0,4,1,9,5,39,30,53,56,17,10,20,14,44,34,18,7,13,19,2.0,4,0.0,0.0,0.25,0.0,L,L,L,L,D,L,M,M,M,M,4.0,LLDMM,LLLMM,1,0,0,0,0,0,0,0,0,0,-1.25,-1.0,0.25,0.25,-3.5,-6.5,-0.75,-1.0,1.25,-3.0
29,2013-08-31,Hannover,Mainz,4,1,H,16,13,5,2,5,3,19,10,3,1,0,0,4,7,4,3,50,33,40,40,18,19,14,19,66,38,17,8,4,15,2.5,8,0.25,0.0,1.5,2.25,W,W,L,W,W,W,M,M,M,M,4.0,WLWMM,WWWMM,6,9,0,0,0,0,0,0,0,0,0.0,1.0,-0.75,-0.75,2.5,-1.75,1.0,0.0,3.25,-1.75
30,2013-08-31,M'gladbach,Werder Bremen,4,1,H,20,10,8,2,1,5,13,13,3,0,0,0,6,2,7,1,38,24,61,65,15,7,24,15,34,47,8,12,16,16,1.25,3,0.0,0.0,0.75,1.5,L,L,W,W,L,W,M,M,M,M,4.0,LWLMM,LWWMM,3,6,0,0,0,0,0,0,0,0,-0.25,0.25,-0.75,-0.75,-5.75,-10.25,-2.25,-2.0,-2.0,-1.0
31,2013-08-31,Nurnberg,Augsburg,0,1,A,7,24,1,7,2,12,10,18,4,2,1,0,4,2,6,6,28,48,61,27,11,13,22,13,41,51,14,21,21,16,2.5,8,0.0,0.0,0.5,0.75,L,W,D,L,D,L,M,M,M,M,4.0,LDDMM,WLLMM,2,3,0,0,0,0,0,0,0,0,-0.5,-1.0,-0.25,-0.25,-8.25,5.25,-2.75,0.0,-1.75,1.25
32,2013-08-31,Schalke 04,Leverkusen,2,0,H,12,11,3,1,2,6,14,18,0,3,0,0,4,8,9,3,33,50,50,35,12,20,20,9,54,36,7,15,25,15,0.75,4,0.5,0.0,0.25,2.25,L,W,L,W,D,W,M,M,M,M,4.0,LLDMM,WWWMM,1,9,0,0,0,0,0,0,0,0,-1.25,1.25,-2.0,-2.0,-4.25,3.75,-2.0,2.75,-4.5,0.0
33,2013-08-31,Wolfsburg,Hertha,2,0,H,18,8,6,4,2,2,16,15,1,2,0,0,4,9,4,3,51,44,38,36,18,19,14,16,44,52,18,16,12,17,0.25,3,0.75,0.0,0.75,1.75,L,W,W,D,L,W,M,M,M,M,4.0,LWLMM,WDWMM,3,7,0,0,0,0,0,0,0,0,0.0,1.5,-1.0,-1.0,3.25,2.0,1.0,0.75,1.5,-0.25
34,2013-09-01,Ein Frankfurt,Dortmund,1,2,A,17,16,4,8,8,6,6,19,1,2,0,0,3,7,7,1,39,69,40,26,11,23,20,8,45,34,18,17,12,10,1.0,0,0.0,0.0,0.75,2.25,W,W,L,W,L,W,M,M,M,M,4.0,WLLMM,WWWMM,3,9,0,0,0,0,0,0,0,0,-1.0,1.5,-1.5,-1.5,-0.25,10.75,-2.25,3.75,1.5,1.75
35,2013-09-01,Stuttgart,Hoffenheim,6,2,H,13,12,7,3,3,5,20,20,2,2,0,0,3,10,6,6,41,54,39,31,15,20,15,15,44,54,25,12,14,15,2.5,4,0.25,0.25,0.0,1.25,L,D,L,W,L,D,M,M,M,M,4.0,LLLMM,DWDMM,0,5,0,0,0,0,0,0,0,0,-0.75,1.0,-1.25,-1.25,0.5,5.75,0.0,1.25,2.75,-0.75
